-16.84,29.4695,3.1640925,0.34615386
-5.97,29.112,1.7689683,0.375
32.09,27.1835,2.6188254,0.4
-13.71,24.3985,3.1159897,0.33333334
1.64,26.2625,2.5381527,0.53846157
-9.14,25.7495,3.0642364,0.3181818
24.07,27.516,2.3719807,0.36666667
-18.0,29.967,2.9008374,0.53125
3.37,21.5365,2.0535595,0.55172414
-2.34,17.6125,2.2377927,0.65
-24.88,13.053,2.3199975,0.5714286
9.6,8.4475,2.147774,0.5882353
9.73,1.5675,2.3873086,0.625
10.55,-1.912,2.2094727,0.71875
5.1,-5.031,2.0927205,0.6666667
-74.8,-5.0185,3.434968,0.4473684
15.57,-9.8975,2.133687,0.6363636
30.37,-14.463,3.7443168,0.7
-2.35,-14.51,1.7963837,0.7222222
35.36,-18.8215,2.1724102,0.4347826
-20.97,-18.0505,1.7172443,0.29411766
-15.49,-6.3085,1.786385,0.41666666
-45.99,-0.3025,2.4968154,0.3773585
-4.52,-6.213,2.0006661,0.75
2.25,-13.017,1.9945166,0.72727275
-4.25,-26.475,2.4870543,0.5217391
24.47,-36.831,2.2256684,0.625
-54.17,-39.213,2.0678875,0.5714286
-89.9,-41.426,3.271191,0.39583334
-55.82,-56.0505,3.8611295,0.4935065
8.46,-79.613,3.092036,0.44642857
35.44,-102.301,2.5085948,0.55172414
23.51,-124.0885,3.7820199,0.5641026
-39.29,-131.025,2.8488963,0.45238096
22.21,-125.3495,2.4394255,0.6666667
1.07,-104.9255,2.0444243,0.4090909
-96.38,-89.7715,3.4999483,0.39583334
14.69,-95.3825,2.6814756,0.54285717
16.31,-101.8365,2.7619505,0.5
-24.48,-98.1035,2.2498024,0.4117647
-34.39,-100.7145,3.0950518,0.4090909
34.37,-109.7505,2.9097555,0.44680852
-1.82,-95.1285,2.5388627,0.62068963
10.1,-86.0185,2.2027602,0.6666667
28.43,-78.883,2.3398924,0.54545456
-7.91,-62.4735,2.3642566,0.57894737
-51.96,-40.583,3.501843,0.58
29.04,-32.136,2.8933213,0.4864865
-18.86,-21.6795,2.1863165,0.3846154
-9.15,-20.5645,2.460842,0.6666667
1.15,-29.2995,2.1940985,0.35714287
16.71,-35.857,1.42072,0.14285715
0.44,-27.7485,2.5651417,0.5
32.27,-24.2055,2.5909986,0.82608694
4.03,-14.0145,2.2789745,0.6
20.39,-0.281,2.1137307,0.85714287
-7.99,16.335,3.0944312,0.5769231
14.94,23.8285,2.2388387,0.6
-15.52,34.2135,2.2894957,0.6
47.83,36.6335,2.9470394,0.7368421
-2.36,43.892,1.9647276,0.4347826
20.85,44.4195,2.3223681,0.65
1.32,51.0755,2.7541115,0.3529412
7.03,54.85,2.1338243,0.44444445
19.44,63.287,2.3893948,0.5625
33.09,66.904,2.6715322,0.94736844
-14.21,76.15,2.3760037,0.53333336
34.12,76.4975,2.6606176,0.47619048
4.49,83.147,2.0947635,0.6363636
7.32,88.119,2.1018744,1.0
-12.38,89.1795,2.144645,0.22222222
-37.0,82.0665,1.8375117,0.16666667
9.04,73.0795,2.4237835,0.6666667
-21.22,58.648,1.5051413,0.375
-3.74,41.749,3.1149614,0.5294118
-26.43,23.9125,2.1433759,0.29166666
-14.35,5.6055,2.0179677,0.07692308
11.69,-7.774,1.8117467,0.5714286
-10.29,-20.4605,2.0748034,0.35
18.63,-31.222,1.3862869,0.8
20.97,-36.153,2.2751307,0.5555556
-15.14,-32.9615,2.191401,0.36842105
-8.04,-28.1265,2.1529825,0.85714287
-9.46,-26.769,2.689525,0.5555556
15.24,-24.419,2.2212179,0.5
10.35,-22.535,2.9491656,0.6666667
-24.52,-21.7005,2.6809537,0.375
20.99,-22.2265,2.2318814,0.5294118
14.58,-16.289,1.4238839,0.90909094
6.03,-6.0515,2.1146145,0.5714286
-0.33,2.1885,2.5675697,0.3846154
-36.54,7.6935,2.7903745,0.33333334
1.36,10.771,2.709629,0.36842105
39.71,10.306,2.89966,0.7
-1.67,11.821,3.0212903,0.5714286
-3.85,11.6905,3.507246,0.38235295
11.85,9.7245,2.8978746,0.71428573
33.55,16.126,2.408926,0.7307692
-15.74,27.869,2.4824786,0.3888889
6.89,29.0005,2.325177,0.3846154
-22.91,32.429,2.866423,0.6
4.01,34.241,2.0225523,1.0
-39.62,33.5275,2.5051382,0.42857143
18.21,19.7595,2.359864,0.8
-15.46,11.1265,1.9277302,0.47058824
-26.38,-0.4395,1.6735538,0.3809524
22.9,-10.867,2.9471953,0.71428573
86.87,-19.364,2.8710117,0.8333333
49.26,-5.8545,2.951209,0.48387095
12.16,12.132,3.4726171,0.5777778
-51.81,35.3365,3.6061928,0.5217391
70.39,56.0315,3.3637342,0.71794873
60.38,80.18,2.8040843,0.6451613
23.14,96.08,3.4787354,0.63829786
-16.55,107.5835,3.2027245,0.46341464
29.31,114.089,3.10141,0.6666667
-9.94,135.159,2.98874,0.46153846
-24.34,141.254,3.0538058,0.5
37.55,133.299,3.332143,0.8
49.89,125.626,3.3152897,0.67391306
10.01,129.092,3.0724387,0.6
104.54,127.053,4.870334,0.52577317
60.9,142.883,3.6537638,0.8181818
1.48,170.733,3.6532054,0.4878049
-44.05,192.0665,2.782502,0.4473684
-32.78,196.038,2.5497653,0.45945945
-3.94,191.7715,3.036368,0.6315789
-14.73,167.322,2.4658844,0.44117647
23.45,132.8345,2.5806918,0.5
52.66,104.22,3.1141293,0.52272725
160.46,92.9245,5.4559965,0.6047619
116.41,109.6655,5.301106,0.5
-47.07,148.1775,5.0190706,0.5
-74.88,185.5875,3.5750005,0.51428574
-21.89,207.8925,3.181557,0.5857143
27.17,215.5545,3.583178,0.6756757
48.88,196.6665,3.5923777,0.516129
14.89,161.3335,2.9295032,0.86206895
0.85,136.429,3.0816164,0.6060606
31.02,128.9605,3.3568664,0.6818182
-33.4,133.018,3.9257343,0.4852941
16.28,127.1295,3.3190284,0.5609756
-95.3,119.155,3.5194037,0.29310346
26.66,96.952,2.9045377,0.40425533
40.38,78.603,3.106778,0.45454547
35.4,57.904,2.9179087,0.60465115
25.13,47.557,2.898027,0.45833334
-25.7,37.4945,2.8237147,0.7096774
29.28,41.9025,2.6759167,0.6764706
-21.63,46.5415,2.6837132,0.6857143
23.23,42.4915,2.7211716,0.7
-0.13,42.867,2.9480608,0.5
12.0,44.021,3.2968605,0.58064514
10.96,49.762,3.4008362,0.6086956
-11.19,47.434,2.9731753,0.5555556
-69.53,46.661,3.520122,0.5
-59.22,32.1715,3.5551388,0.61290324
1.23,11.266,3.091187,0.5
-46.32,-11.1105,2.2347867,0.45833334
-21.41,-42.582,3.073488,0.3939394
2.44,-73.476,2.3587716,0.58064514
55.18,-91.657,3.664023,0.5769231
-30.54,-88.8935,2.5820599,0.60465115
-4.32,-95.722,2.4786623,0.6
5.77,-92.6,2.7839804,0.3478261
18.58,-82.3115,2.7089171,0.6363636
-48.31,-68.1015,3.311674,0.42857143
13.95,-70.918,2.401286,0.4814815
29.34,-66.8205,2.176735,0.5416667
-35.41,-55.995,2.260408,0.46153846
-23.19,-52.7155,2.8015423,0.47058824
-1.67,-55.4675,2.1760237,0.5714286
-50.97,-48.8155,3.7295468,0.48214287
-15.52,-51.9985,2.9296987,0.5
-2.39,-62.832,3.0525208,0.375
37.33,-67.505,2.9511664,0.4074074
5.08,-65.419,2.3162384,0.15384616
27.54,-65.1965,2.8572688,0.53333336
8.59,-50.587,2.2845118,0.61538464
15.87,-33.901,2.189627,0.7
-33.54,-15.4235,1.6846492,0.64
-26.59,-9.2855,2.3258796,0.4117647
10.18,-5.393,2.8231974,0.53846157
7.05,-7.005,2.142942,0.46666667
27.62,-9.4945,2.5024092,0.375
-36.47,-10.73,2.023946,0.11111111
-10.28,-9.797,2.3507454,0.125
35.91,-7.508,3.1406305,0.71428573
-24.87,-1.1735,1.7724305,0.125
-25.0,1.49,4.025077,0.4
-5.79,-6.89,2.3906775,0.33333334
10.31,-10.0035,2.5533018,0.42105263
21.96,-9.594,2.59757,0.5882353
10.97,-15.623,2.647923,0.72727275
-11.64,-15.807,1.7103415,0.5
-5.9,-12.8535,2.0748045,0.4375
12.26,-7.759,2.614971,0.64705884
3.13,-2.633,1.764145,0.5
-8.57,-0.0495,1.4045001,0.2857143
-1.73,-0.518,1.9926534,0.3846154
2.08,1.8725,1.5884227,0.75
23.37,4.077,2.176152,0.7894737
-3.62,6.0075,2.4276192,0.42857143
14.71,7.275,2.5637372,0.4
4.92,12.815,1.8528295,0.4375
26.56,20.82,2.6671386,0.5
29.51,30.5675,2.2527065,0.8
-59.69,39.5505,3.1018534,0.32142857
-37.89,42.103,2.4653585,0.21428572
17.07,34.7865,3.114497,0.56666666
-19.33,27.798,2.9886906,0.35
39.24,12.3085,2.6183844,0.4814815
-47.78,-2.68,2.8463445,0.083333336
-12.69,-11.802,2.5946956,0.8
-70.02,-14.699,3.1524103,0.39285713
3.27,-32.096,3.584676,0.48387095
26.83,-45.4295,2.1817274,0.6666667
1.24,-61.974,2.5530496,0.3846154
-12.13,-68.0315,3.1312082,0.4090909
35.9,-73.801,2.540759,0.61904764
-7.98,-60.268,3.857314,0.3448276
-51.04,-48.4835,3.277917,0.42857143
-88.2,-48.5525,4.3020754,0.47959185
110.16,-63.065,3.9507217,0.5733333
-2.77,-57.892,3.051292,0.41666666
31.47,-60.067,2.591992,0.52380955
27.33,-54.5975,3.023452,0.6451613
32.48,-33.3455,4.196845,0.51282054
-31.37,7.4345,3.7112365,0.55932206
-46.08,19.5825,3.4045956,0.4090909
32.14,26.226,2.3734498,0.56
-4.97,30.43,2.4752343,0.375
-12.65,30.386,2.5989017,0.4
12.42,19.5595,2.7269113,0.375
-16.18,16.2345,3.0039132,0.5
21.06,16.1985,2.6649597,0.47058824
20.07,13.056,2.504594,0.7
-4.87,15.256,2.1200364,0.75
-26.1,19.512,2.593059,0.41666666
-5.98,16.7645,2.0599363,0.56666666
-20.15,18.1485,2.320146,0.6333333
-30.05,11.9025,2.6379037,0.5405405
70.83,-5.415,2.8395147,0.5897436
12.36,-15.542,2.4010973,0.5416667
12.61,-13.087,2.8915827,0.7307692
-7.25,-7.683,2.7024083,0.64285713
-0.93,2.235,1.8395412,0.59090906
-15.35,19.39,2.1557472,0.6315789
10.97,21.7005,2.4674342,0.6666667
3.46,22.219,2.0251424,0.64285713
-57.61,18.432,3.4030538,0.32608697
67.46,9.0605,2.5487692,0.54545456
14.96,9.7475,2.3111851,0.6666667
-11.19,15.1175,2.413876,0.6315789
-7.14,16.4315,2.5614424,0.32142857
2.77,15.172,1.9435116,0.75
9.9,26.904,2.5672896,0.7
-11.43,27.63,3.6495004,0.57894737
17.63,23.402,1.9739422,0.8333333
-1.49,22.7515,1.0708984,0.5
-9.4,23.005,2.9197001,0.5714286
7.7,20.287,2.1485593,0.6923077
-8.96,15.2415,1.992045,0.625
3.63,14.6815,1.7888068,0.35
-15.31,11.7595,2.174579,0.2777778
14.77,7.47,3.7999895,0.625
